ID,Título
NZLB6BLTT02STSAQ,Balance of Payments: Current Account: Balance (Revenue Minus Expenditure) for New Zealand
HUNB6BLTT02STSAQ,Balance of Payments: Current Account: Balance (Revenue Minus Expenditure) for Hungary
BRAB6BLTT02STSAQ,Balance of Payments: Current Account: Balance (Revenue Minus Expenditure) for Brazil
CRIB6BLTT02STSAQ,Balance of Payments: Current Account: Balance (Revenue Minus Expenditure) for Costa Rica
LTUB6BLTT02STSAQ,Balance of Payments: Current Account: Balance (Revenue Minus Expenditure) for Lithuania
COLB6BLTT02STSAQ,Balance of Payments: Current Account: Balance (Revenue Minus Expenditure) for Colombia
KORB6BLTT02STSAQ,Balance of Payments: Current Account: Balance (Revenue Minus Expenditure) for Korea
IRLB6BLTT02STSAQ,Balance of Payments: Current Account: Balance (Revenue Minus Expenditure) for Ireland
IDNB6BLTT02STSAQ,Balance of Payments: Current Account: Balance (Revenue Minus Expenditure) for Indonesia
POLB6BLTT02STSAQ,Balance of Payments: Current Account: Balance (Revenue Minus Expenditure) for Poland
SVNB6BLTT02STSAQ,Balance of Payments: Current Account: Balance (Revenue Minus Expenditure) for Slovenia
SVKB6BLTT02STSAQ,Balance of Payments: Current Account: Balance (Revenue Minus Expenditure) for Slovak Republic
ISLB6BLTT02STSAQ,Balance of Payments: Current Account: Balance (Revenue Minus Expenditure) for Iceland
CHLB6BLTT02STSAQ,Balance of Payments: Current Account: Balance (Revenue Minus Expenditure) for Chile
DPCERY2A224NBEA,Contributions to percent change in real gross domestic product: Personal consumption expenditures
BBKMGDP,Brave-Butters-Kelley Real Gross Domestic Product
NGMP19100,"Total Gross Domestic Product for Dallas-Fort Worth-Arlington, TX (MSA)"
CLVMNACSCAB1GQSE,Real Gross Domestic Product for Sweden
RGDPNATWA666NRUG,Real GDP at Constant National Prices for Taiwan Province of China
ND000374Q,Real Net Exports of Goods and Services
GNPDEF,Gross National Product: Implicit Price Deflator
PAKDGDPGDPPT,Total External Debt for Pakistan
AUSGDPRQDSMEI,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Australia
FLNGSP,Gross Domestic Product: All Industry Total in Florida
QUSPAM770A,"Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for United States"
FLNQGSP,Gross Domestic Product: All Industry Total in Florida
CZEB6BLTT02STSAQ,Balance of Payments: Current Account: Balance (Revenue Minus Expenditure) for Czechia
ESTB6BLTT02STSAQ,Balance of Payments: Current Account: Balance (Revenue Minus Expenditure) for Estonia
FINB6BLTT02STSAQ,Balance of Payments: Current Account: Balance (Revenue Minus Expenditure) for Finland
DPCCRC1A027NBEA,Personal consumption expenditures excluding food and energy
DPCCRC1Q027SBEA,Personal consumption expenditures excluding food and energy
DEBTTLCAA188A,"Central government debt, total (% of GDP) for Canada"
W790RC1A027NBEA,Net domestic investment: Private: Domestic business
NGMP33100,"Total Gross Domestic Product for Miami-Fort Lauderdale-West Palm Beach, FL (MSA)"
NGMP41860,"Total Gross Domestic Product for San Francisco-Oakland-Hayward, CA (MSA)"
NGMP35620,"Total Gross Domestic Product for New York-Newark-Jersey City, NY-NJ-PA (MSA)"
A927RC1A027NBEA,Gross government saving
A466RD3A052NBEA,Profit per unit of real gross value added of nonfinancial corporate business: Corporate profits after tax with IVA and CCAdj (unit profits from current production)
A074RC1Q027SBEA,Federal government current tax receipts: Personal current taxes
NAEXKP01AUQ657S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Australia
CLVMNACNSAB1GQEL,Real Gross Domestic Product for Greece
MKTGDPCAA646NWDB,Gross Domestic Product for Canada
RGDPNATRA666NRUG,Real GDP at Constant National Prices for Turkey
GNPGDPUSA156NUPN,Ratio of GNP to GDP for United States
C307RX1Q020SBEA,Real private fixed investment: Nonresidential: Structures: Manufacturing
B020RE1Q156NBEA,Shares of gross domestic product: Exports of goods and services
NGDPRSAXDCZAQ,Real Gross Domestic Product for South Africa
AUSGDPRQPSMEI,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Australia
NAEXKP01AUA189S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Australia
NAEXKP01AUQ661S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Australia
NAEXKP01AUA657S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Australia
NAEXKP01AUA661S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Australia
NAEXKP01AUA659S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Australia
A001RI1A225NBEA,Gross National Product: Implicit Price Deflator
A001RI1Q225SBEA,Gross National Product: Implicit Price Deflator
DDDM01INA156NWDB,Stock Market Capitalization to GDP for India
BBKQGDP,Brave-Butters-Kelley Real Gross Domestic Product
DEBTTLCNA188A,"Central government debt, total (% of GDP) for China"
MKTGDPFRA646NWDB,Gross Domestic Product for France
CLVMNACNSAB1GQSE,Real Gross Domestic Product for Sweden
FPI,Fixed Private Investment
CPROFIT,Corporate Profits with Inventory Valuation Adjustment (IVA) and Capital Consumption Adjustment (CCAdj)
GSAVE,Gross Saving
CANGDPDEFQISMEI,National Accounts: National Accounts Deflators: Gross Domestic Product: GDP Deflator for Canada
WUIGLOBALWEIGHTAVG,World Uncertainty Index: Global: GDP Weighted Average
ZAFNGDPRPCPPPT,Real Gross Domestic Product for South Africa
B020RE1A156NBEA,Shares of gross domestic product: Exports of goods and services
CPMNACSCAB1GQFR,Gross Domestic Product for France
C307RL1Q225SBEA,Real Private Fixed Investment: Nonresidential: Structures: Manufacturing
CLVMNACNSAB1GQPL,Real Gross Domestic Product for Poland
NYGDPPCAPKDRUS,Constant GDP per capita for the Russian Federation
NYGDPPCAPKDAUS,Constant GDP per capita for Australia
NGDPRNSAXDCZAQ,Real Gross Domestic Product for South Africa
A074RC1A027NBEA,Federal government current tax receipts: Personal current taxes
C307RL1A225NBEA,Real Private Fixed Investment: Nonresidential: Structures: Manufacturing
C307RX1A020NBEA,Real private fixed investment: Nonresidential: Structures: Manufacturing
NGDPRXDCZAA,Real Gross Domestic Product for South Africa
NA000320Q,Federal government current tax receipts: Personal current taxes
CPMNACSCAB1GQEU272020,Gross Domestic Product for European Union (27 Countries from 2020)
NETFI,"Balance on Current Account, NIPA's"
DTENRG3A086NBEA,Personal consumption expenditures: Services: Housing: Rental of tenant-occupied nonfarm housing (chain-type price index)
CLVMNACSCAB1GQPL,Real Gross Domestic Product for Poland
USAGFCFQDSMEI,National Accounts: GDP by Expenditure: Current Prices: Gross Fixed Capital Formation for United States
W255RC1Q027SBEA,Net interest and miscellaneous payments on assets
CLVMNACSAB1GQCH,Real Gross Domestic Product for Switzerland
DHLCRC1Q027SBEA,Personal consumption expenditures: Services: Health care
CLVMNACSCAB1GQNO,Real Gross Domestic Product for Norway
BBKMLEIX,Brave-Butters-Kelley Leading Index
INDLORSGPNOSTSAM,Composite Leading Indicators: Reference Series (GDP) Normalized for India
NGDPRSAXDCPLQ,Real Gross Domestic Product for Poland
NFCPATAX,Nonfinancial Corporate Business: Profits After Tax (without IVA and CCAdj)
CANGDPDEFAISMEI,National Accounts: National Accounts Deflators: Gross Domestic Product: GDP Deflator for Canada
CANNGDPRPCH,Gross Domestic Product for Canada
NGDPRXDCPLA,Real Gross Domestic Product for Poland
A929RC1A027NBEA,Gross saving
DEBTTLINA188A,"Central government debt, total (% of GDP) for India"
HDTGPDKRQ163N,Household Debt to GDP for Republic of Korea
NGDPRNSAXDCPLQ,Real Gross Domestic Product for Poland
CPMNACNSAB1GQFR,Gross Domestic Product for France
NGMP31080,"Total Gross Domestic Product for Los Angeles-Long Beach-Anaheim, CA (MSA)"
EUNNGDP,Gross Domestic Product (Euro/ECU Series) for Euro Area (19 Countries)
NGDPRSAXDCIDQ,Real Gross Domestic Product for Indonesia
SLEXPND,State and Local Government Current Expenditures
BBKQLEIX,Brave-Butters-Kelley Leading Index
RGDPNAVEA666NRUG,Real GDP at Constant National Prices for Bolivarian Republic of Venezuela
RGDPCHUSA625NUPN,Purchasing Power Parity Converted GDP Per Capita (Chain Series) for United States
RGDPNABRA666NRUG,Real GDP at Constant National Prices for Brazil
RGDPNAMXA666NRUG,Real GDP at Constant National Prices for Mexico
W019RCQ027SBEA,Federal government total expenditures
A011RE1Q156NBEA,Shares of gross domestic product: Gross private domestic investment: Fixed investment: Residential
A466RC1A027NBEA,Nonfinancial corporate business: Profits after tax (without IVA and CCAdj)
CPMNACNSAB1GQEU272020,Gross Domestic Product for European Union (27 Countries from 2020)
USAGFCFADSMEI,National Accounts: GDP by Expenditure: Current Prices: Gross Fixed Capital Formation for United States
W255RC1A027NBEA,Net interest and miscellaneous payments on assets
DHLCRC1A027NBEA,Personal consumption expenditures: Services: Health care
CLVMNACSCAB1GQCH,Real Gross Domestic Product for Switzerland
CLVMNACNSAB1GQCH,Real Gross Domestic Product for Switzerland
DEBTTLGRA188A,"Central government debt, total (% of GDP) for Greece"
CLVMNACNSAB1GQNO,Real Gross Domestic Product for Norway
HDTGPDKRA163N,Household Debt to GDP for Republic of Korea
A464RC1Q027SBEA,Nonfinancial corporate business: Profits before tax (without IVA and CCAdj)
A014RY2Q224SBEA,Contributions to percent change in real gross domestic product: Gross private domestic investment: Change in private inventories
A011RE1A156NBEA,Shares of gross domestic product: Gross private domestic investment: Fixed investment: Residential
W019RC1A027NBEA,Federal government total expenditures
GNPC96,Real Gross National Product
NGDPRNSAXDCIDQ,Real Gross Domestic Product for Indonesia
NAEXKP01CNA657S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for China
NYGDPPCAPKDESP,Constant GDP per capita for Spain
CPMEURNSAB1GQEA19,Gross Domestic Product (Euro/ECU Series) for Euro Area (19 Countries)
NGDPRXDCIDA,Real Gross Domestic Product for Indonesia
NA000284Q,State and local government current expenditures
ASLEXPND,State and Local Government Current Expenditures
NAEXKP01CNA652S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for China
CHNGDPRAPSMEI,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for China
NGMP26420,"Total Gross Domestic Product for Houston-The Woodlands-Sugar Land, TX (MSA)"
NGMP12420,"Total Gross Domestic Product for Austin-Round Rock, TX (MSA)"
CLVMNACSCAB1GQEA19,Real Gross Domestic Product for Euro Area (19 Countries)
GNPCA,Real Gross National Product
RGDPNASGA666NRUG,Real GDP at Constant National Prices for Singapore
CPMNACSCAB1GQIT,Gross Domestic Product for Italy
NAEXKP01CNA661S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for China
A001RO1Q156NBEA,Real Gross National Product
AUSGDPNQDSMEI,National Accounts: GDP by Expenditure: Current Prices: Gross Domestic Product: Total for Australia
MKTGDPITA646NWDB,Gross Domestic Product for Italy
DDDI06JPA156NWDB,Central Bank Assets to GDP for Japan
DDDI03USA156NWDB,Non-Bank Financial Institutions' Assets to GDP for United States
NYGDPPCAPKDBRA,Constant GDP per capita for Brazil
A001RL1A225NBEA,Real Gross National Product
A001RL1Q225SBEA,Real Gross National Product
AUSGDPNADSMEI,National Accounts: GDP by Expenditure: Current Prices: Gross Domestic Product: Total for Australia
A464RC1A027NBEA,Nonfinancial corporate business: Profits before tax (without IVA and CCAdj)
A014RY2A224NBEA,Contributions to percent change in real gross domestic product: Gross private domestic investment: Change in private inventories
HDTGPDGBQ163N,Household Debt to GDP for United Kingdom
GCDODTOTLGDZSEUU,"Central government debt, total (% of GDP) for the European Union"
NGDPRNSAXDCRUQ,Real Gross Domestic Product for Russia
RGDPNAPHA666NRUG,Real GDP at Constant National Prices for Philippines
DEULORSGPNOSTSAM,Composite Leading Indicators: Reference Series (GDP) Normalized for Germany
RGDPNAUAA666NRUG,Real GDP at Constant National Prices for Ukraine
SAUNGDPXORPCHPT,Non-Oil Real GDP Growth in Constant Prices for Saudi Arabia
VAPGDPR,Value Added by Industry: Retail Trade as a Percentage of GDP
NAEXKP01CLQ652S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Chile
NAEXKP01NZQ189S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for New Zealand
GGGDTACAA188N,General government gross debt for Canada
CLVMNACSCAB1GQNL,Real Gross Domestic Product for Netherlands
DDOI02USA156NWDB,Bank Deposits to GDP for United States
DDDI06CNA156NWDB,Central Bank Assets to GDP for China
W823RC1Q027SBEA,Personal current transfer receipts: Government social benefits to persons: Social security
W823RC1A027NBEA,Personal current transfer receipts: Government social benefits to persons: Social security
CPMNACNSAB1GQIT,Gross Domestic Product for Italy
CLVMNACNSAB1GQNL,Real Gross Domestic Product for Netherlands
CLVMNACNSAB1GQEA19,Real Gross Domestic Product for Euro Area (19 Countries)
PAYEMS,"All Employees, Total Nonfarm"
L312041A027NBEA,Government subsidies: Federal: Agricultural
GDPC1CTMLR,"Longer Run FOMC Summary of Economic Projections for the Growth Rate of Real Gross Domestic Product, Central Tendency, Midpoint"
NAEXKP01NZQ657S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for New Zealand
NGDPRSAXDCUSQ,Real Gross Domestic Product for United States
MKTGDPKRA646NWDB,Gross Domestic Product for Republic of Korea
NAEXKP01CLQ661S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Chile
CHLGDPRQPSMEI,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Chile
NGDPRSAXDCARQ,Real Gross Domestic Product for Argentina
Y033RX1Q020SBEA,Real Gross Private Domestic Investment: Fixed Investment: Nonresidential: Equipment
NZLGDPRQPSMEI,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for New Zealand
NAEXKP01NZQ661S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for New Zealand
RGDPNATHA666NRUG,Real GDP at Constant National Prices for Thailand
INDGDPNQDSMEI,National Accounts: GDP by Expenditure: Current Prices: Gross Domestic Product: Total for India
ZAFNGDPRPCPCPPPT,Real GDP Per Capita for South Africa
VAPGDPPBS,Value Added by Industry: Professional and Business Services as a Percentage of GDP
RGDPNADEA666NRUG,Real GDP at Constant National Prices for Germany
NAEXKP01CLQ657S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Chile
NAEXKP01CLA661S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Chile
NAEXKP01CLA652S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Chile
CHLGDPRAPSMEI,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Chile
NAEXKP01CLA657S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Chile
NAEXKP01NZA657S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for New Zealand
NAEXKP01NZA189S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for New Zealand
NZLGDPRAPSMEI,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for New Zealand
NAEXKP01NZA661S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for New Zealand
NGDPRXDCRUA,Real Gross Domestic Product for Russia
DNRGRC1Q027SBEA,Personal consumption expenditures: Energy goods and services
NAEXKP01DEQ657S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Germany
DDDM01JPA156NWDB,Stock Market Capitalization to GDP for Japan
NYGDPPCAPKDTUR,Constant GDP per capita for Turkey
NYGDPPCAPKDMEX,Constant GDP per capita for Mexico
DNRGRC1A027NBEA,Personal consumption expenditures: Energy goods and services
NAEXKP01DEQ189S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Germany
DEBTTLGBA188A,"Central government debt, total (% of GDP) for the United Kingdom"
NAEXKP01DEQ661S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Germany
M2V,Velocity of M2 Money Stock
DEUGDPRQPSMEI,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Germany
W987RC1Q027SBEA,Gross private domestic investment: Domestic business
M318191Q027NBEA,Federal government expenditures: Budget outlays
W070RC1Q027SBEA,State and local government current tax receipts
W201RC1Q027SBEA,Net saving
PCAGDPCNA646NWDB,Gross Domestic Product Per Capita for China
INDGDPNADSMEI,National Accounts: GDP by Expenditure: Current Prices: Gross Domestic Product: Total for India
NAEXKP01DEA657S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Germany
DEUGDPRAPSMEI,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Germany
NAEXKP01DEA661S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Germany
NAEXKP01DEA189S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Germany
RGDPNACOA666NRUG,Real GDP at Constant National Prices for Colombia
RGDPNAILA666NRUG,Real GDP at Constant National Prices for Israel
TXRQGSP,Real Gross Domestic Product: All Industry Total in Texas
CANGGXWDGGDP,General Government Gross Debt for Canada
PA0000091Q225SBEA,Average of GDP and GDI
NAEXKP02EZQ189S,National Accounts: GDP by Expenditure: Constant Prices: Private Final Consumption Expenditure for the Euro Area (19 Countries)
JPNGDPDEFQISMEI,National Accounts: National Accounts Deflators: Gross Domestic Product: GDP Deflator for Japan
A794RC0Q052SBEA,Personal consumption expenditures per capita
USABCAGDPBP6,Balance of Payments for United States
NGDPRXDCARA,Real Gross Domestic Product for Argentina
B021RE1A156NBEA,Shares of gross domestic product: Imports of goods and services
NAEXKP01JPQ657S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Japan
B021RE1Q156NBEA,Shares of gross domestic product: Imports of goods and services
DSERRV1Q225SBEA,Personal Consumption Expenditures: Services (chain-type price index)
NGDPRNSAXDCARQ,Real Gross Domestic Product for Argentina
Y033RL1Q225SBEA,Real Gross Private Domestic Investment: Fixed Investment: Nonresidential: Equipment
Y033RO1Q156NBEA,Real Gross Private Domestic Investment: Fixed Investment: Nonresidential: Equipment
PPPTTLCNA618NUPN,Purchasing Power Parity over GDP for China
DSERRG3Q086SBEA,Personal consumption expenditures: Services (chain-type price index)
Y033RL1A225NBEA,Real Gross Private Domestic Investment: Fixed Investment: Nonresidential: Equipment
NGDPRNSAXDCUSQ,Real Gross Domestic Product for United States
DSERRV1A225NBEA,Personal Consumption Expenditures: Services (chain-type price index)
DSERRG3A086NBEA,Personal consumption expenditures: Services (chain-type price index)
NB000340Q,Real Gross Private Domestic Investment: Fixed Investment: Nonresidential: Equipment
Y033RX1A020NBEA,Real Gross Private Domestic Investment: Fixed Investment: Nonresidential: Equipment
ND000340Q,Real Gross Private Domestic Investment: Fixed Investment: Nonresidential: Equipment
OB000340Q,Real Gross Private Domestic Investment: Fixed Investment: Nonresidential: Equipment
NGDPRXDCUSA,Real Gross Domestic Product for United States
NYGDPPCAPKDIRL,Constant GDP per capita for Ireland
NAEXKP01JPQ189S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Japan
PAYNSA,"All Employees, Total Nonfarm"
DEBTTLUSA188A,"Central government debt, total (% of GDP) for the United States"
GEPUPPP,Global Economic Policy Uncertainty Index: PPP-Adjusted GDP
HDTGPDAUQ163N,Household Debt to GDP for Australia
A794RC0A052NBEA,Personal consumption expenditures per capita
LA0000091Q027SBEA,Average of GDP and GDI
JPNGDPDEFAISMEI,National Accounts: National Accounts Deflators: Gross Domestic Product: GDP Deflator for Japan
NGMP19820,"Total Gross Domestic Product for Detroit-Warren-Dearborn, MI (MSA)"
NGMP12060,"Total Gross Domestic Product for Atlanta-Sandy Springs-Roswell, GA (MSA)"
TXRGSP,Real Gross Domestic Product: All Industry Total in Texas
JPNGDPRQPSMEI,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Japan
NAEXKP02EZQ659S,National Accounts: GDP by Expenditure: Constant Prices: Private Final Consumption Expenditure for the Euro Area (19 Countries)
PPPTT2CNA618NUPN,Purchasing Power Parity over GDP for China
A822RY2Q224SBEA,Contributions to percent change in real gross domestic product: Government consumption expenditures and gross investment
DFDHRC1Q027SBEA,Personal consumption expenditures: Durable goods: Furnishings and durable household equipment
LA0000091A027NBEA,Average of GDP and GDI
NAEXKP01JPQ661S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Japan
NAEXKP01JPA657S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Japan
JPNGDPRAPSMEI,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Japan
NAEXKP01JPA661S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Japan
NAEXKP01JPA189S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Japan
NAEXKP02EZA189S,National Accounts: GDP by Expenditure: Constant Prices: Private Final Consumption Expenditure for the Euro Area (19 Countries)
NAEXKP02EZQ661S,National Accounts: GDP by Expenditure: Constant Prices: Private Final Consumption Expenditure for the Euro Area (19 Countries)
NAEXKP02EZQ657S,National Accounts: GDP by Expenditure: Constant Prices: Private Final Consumption Expenditure for the Euro Area (19 Countries)
NAEXKP02EZA659S,National Accounts: GDP by Expenditure: Constant Prices: Private Final Consumption Expenditure for the Euro Area (19 Countries)
NAEXKP02EZA661S,National Accounts: GDP by Expenditure: Constant Prices: Private Final Consumption Expenditure for the Euro Area (19 Countries)
NAEXKP02EZA657S,National Accounts: GDP by Expenditure: Constant Prices: Private Final Consumption Expenditure for the Euro Area (19 Countries)
Y694RC1Q027SBEA,Gross Domestic Product: Research and Development
NAGIGP01EZQ661S,National Accounts: National Accounts Deflators: Gross Domestic Product: GDP Deflator for the Euro Area (19 Countries)
VAPGDPAFH,"Value Added by Industry: Agriculture, Forestry, Fishing, and Hunting as a Percentage of GDP"
GNPGDPJPA156NUPN,Ratio of GNP to GDP for Japan
LABSHPJPA156NRUG,Share of Labour Compensation in GDP at Current National Prices for Japan
RGDPNAEGA666NRUG,Real GDP at Constant National Prices for Egypt
NICUR,National Income
MINGSP,Gross Domestic Product: All Industry Total in Michigan
TURGDPNQDSMEI,National Accounts: GDP by Expenditure: Current Prices: Gross Domestic Product: Total for Turkey
NAEXKP01RUQ652S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Russia
W987RC1A027NBEA,Gross private domestic investment: Domestic business
M318191A027NBEA,Federal government expenditures: Budget outlays
NA000328Q,State and local government current tax receipts
W070RC1A027NBEA,State and local government current tax receipts
W201RC1A027NBEA,Net saving
BOEBSTAUKA,Bank of England Balance Sheet - Total Assets in the United Kingdom
NYGDPPCAPKDNZL,Constant GDP per capita for New Zealand
DEBTTLITA188A,"Central government debt, total (% of GDP) for Italy"
NAEXKP01RUQ657S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Russia
HDTGPDDEQ163N,Household Debt to GDP for Germany
MINQGSP,Gross Domestic Product: All Industry Total in Michigan
TURGDPNADSMEI,National Accounts: GDP by Expenditure: Current Prices: Gross Domestic Product: Total for Turkey
NGMP34980,"Total Gross Domestic Product for Nashville-Davidson--Murfreesboro--Franklin, TN (MSA)"
NGMP41700,"Total Gross Domestic Product for San Antonio-New Braunfels, TX (MSA)"
NAGIGP01EZA661S,National Accounts: National Accounts Deflators: Gross Domestic Product: GDP Deflator for the Euro Area (19 Countries)
NAEXKP01RUQ659S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Russia
NAEXKP01RUQ661S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Russia
GCDODTOTLGDZSOED,"Central government debt, total (% of GDP) for OECD Members"
B075RC1Q027SBEA,Federal government current tax receipts: Taxes on corporate income
NAEXKP01RUA661S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Russia
NAEXKP01RUA652S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Russia
NAEXKP01RUA659S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Russia
NAEXKP01RUA657S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Russia
CLVMNACSCAB1GQPT,Real Gross Domestic Product for Portugal
VAPGDPRL,"Value Added by Industry: Finance, Insurance, Real Estate, Rental, and Leasing: Real Estate and Rental and Leasing as a Percentage of GDP"
LABSHPDEA156NRUG,Share of Labour Compensation in GDP at Current National Prices for Germany
VAPGDPM,Value Added by Industry: Mining as a Percentage of GDP
VAPGDPSPI,Value Added by Industry: Private Services-Producing Industries as a Percentage of GDP
GBRGDPDEFQISMEI,National Accounts: National Accounts Deflators: Gross Domestic Product: GDP Deflator for United Kingdom
A032RC1A027NBEA,National income
AZNGSP,Gross Domestic Product: All Industry Total in Arizona
GNPGDPCNA156NUPN,Ratio of GNP to GDP for China
A822RY2A224NBEA,Contributions to percent change in real gross domestic product: Government consumption expenditures and gross investment
Y694RC1A027NBEA,Gross Domestic Product: Research and Development
DFDHRC1A027NBEA,Personal consumption expenditures: Durable goods: Furnishings and durable household equipment
NAEXKP01ITQ189S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Italy
PC001260Q,Personal Consumption Expenditures: Services Excluding Energy and Housing (Chain-Type Price Index)
HDTGPDDEA163N,Household Debt to GDP for Germany
NAEXKP01ITQ657S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Italy
PC001260A,Personal Consumption Expenditures: Services Excluding Energy and Housing (Chain-Type Price Index)
YC001177Q,Personal Consumption Expenditures: Services Excluding Energy and Housing (Chain-Type Price Index)
IA001260Q,Personal Consumption Expenditures: Services Excluding Energy and Housing (Chain-Type Price Index)
GNPGD2CNA156NUPN,Ratio of GNP to GDP for China
IA001260A,Personal Consumption Expenditures: Services Excluding Energy and Housing (Chain-Type Price Index)
DDDI07USA156NWDB,Mutual Fund Assets to GDP for United States
NGMP41940,"Total Gross Domestic Product for San Jose-Sunnyvale-Santa Clara, CA (MSA)"
NGMP41180,"Total Gross Domestic Product for St. Louis, MO-IL (MSA)"
NGMP38900,"Total Gross Domestic Product for Portland-Vancouver-Hillsboro, OR-WA (MSA)"
ITAGDPRQPSMEI,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Italy
NAEXKP01ITQ661S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Italy
AZNQGSP,Gross Domestic Product: All Industry Total in Arizona
ITAGDPRAPSMEI,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Italy
NAEXKP01ITA657S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Italy
NAEXKP01ITA189S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Italy
GBRGDPDEFAISMEI,National Accounts: National Accounts Deflators: Gross Domestic Product: GDP Deflator for United Kingdom
GCDODTOTLGDZSEMU,"Central government debt, total (% of GDP) for the Euro Area"
NGANGDPRPCPPPT,Real Gross Domestic Product for Nigeria
B056RC1A027NBEA,Net corporate dividend payments
JCXFE,Personal Consumption Expenditures: Chain-type Price Index Less Food and Energy
NAEXKP01ITA661S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for Italy
FPIC1,Real Private Fixed Investment
MKTGDPSGA646NWDB,Gross Domestic Product for Singapore
Y001RE1Q156NBEA,Shares of Gross Domestic Product: Gross Private Domestic Investment: Fixed Investment: Nonresidential: Intellectual Property Products
LB0000031Q020SBEA,Real Final Sales to Private Domestic Purchasers
NCNGSP,Gross Domestic Product: All Industry Total in North Carolina
CLVMNACNSAB1GQPT,Real Gross Domestic Product for Portugal
